自由360度,40.0,6,3,8969,7,2006,1,外双楠
成都合院一期,588.0,70,240,5680,18,2011,18,犀浦
银都花园怡苑一期,152.0,22,25,11732,6,2001,1,桐梓林
西华雅苑,284.0,66,72,4991,6,2005,6,红光
新源巷5号,196.0,0,18,7778,7,,2,芳草
中冶田园世界,3505.0,508,474,5434,30,2013,64,郫县城区
静水香榭,705.8,22,57,5113,6,2008,10,温江老城
温哥华花园,6257.6,1094,2092,7987,16,,78,航空港
新港国际花园,1346.0,88,348,11025,32,2011,14,中和
抚琴东南路2号,116.0,72,8,9165,7,1998,2,通惠门
西城映画,600.0,2,0,13825,4,2004,2,国宾
天府香城,382.0,114,112,4829,6,2006,8,新都城区
新桥逸景B区,236.0,144,224,7764,23,2010,4,金府
绿地国际花都三期,3640.0,1104,686,5869,31,2014,74,郫县城区
凯瑞花都,304.0,20,42,10797,18,2008,4,抚琴小区
协和花苑,216.0,0,6,11021,7,2002,2,九里堤
文星花园,698.0,10,86,6168,18,2010,10,航空港
静居嘉苑,287.0,8,53,12776,6,2016,2,静居寺
水漪袅铜,896.0,283,179,12865,12,2005,5,航空路
置信逸都D区,734.0,156,90,5553,33,2014,12,郫县万达
尚东美林二区,1074.0,128,126,8411,11,2010,12,万年场
长城锦苑,99.0,17,37,10622,30,2007,2,红星路
齐盛艺境,470.0,48,134,10325,19,2008,4,远大
欣民苑,268.0,170,72,7971,7,2001,4,一品天下
城南商住楼17号,116.0,6,35,7436,7,2005,1,高升桥
天府名苑,730.0,218,292,8383,8,2002,24,九里堤
武侯祠横街17号,347.0,76,82,8215,7,1995,4,华西
蜀汉小区,266.0,84,162,8080,7,1999,4,一品天下
芙蓉名城C区,662.0,76,58,6318,18,2010,8,新都城区
棕竹街3号,528.0,0,14,12199,7,1995,5,棕北
中道街89号,152.0,19,17,11261,7,1994,1,红星路
燃灯寺东街9号,65.0,1,4,8125,7,2000,1,广福桥
东立国际广场,808.0,286,190,5617,,2008,18,驷马桥
倍特金杏苑A区,244.0,0,14,11193,7,2003,2,芳草
楠极地,164.5,11,39,8861,10,2004,5,双楠
菊乐路151号院,96.5,23,57,8826,7,1998,2,双楠
鹭湖宫6区,400.0,2,4,11227,,3,1,国色天香
滨河花园,828.0,88,160,4475,6,2003,12,龙泉驿城区
万科魅力之城三期,2792.0,180,386,13411,18,2008,16,成渝立交
大石南路36号,180.0,4,14,9063,7,2000,2,双楠
博雅新城A区,1893.0,196,224,6407,27,2013,32,大丰
云翔金谷,140.0,42,40,7703,18,2009,2,高家庄
格林花园,1176.0,20,18,10622,6,2000,6,一品天下
柳堤苑,322.0,12,20,8651,11,2003,4,沙湾
武青嘉苑,165.5,19,37,7954,6,2005,3,草金立交
中铁瑞景茗城,3306.8,678,986,5659,6,2012,68,郫县城区
海椒市街60号,76.0,8,12,9876,7,1998,1,莲花
西华阳光,206.0,2,38,5313,6,2002,4,红光
中央花园沿河别墅,360.0,5,9,12500,,3,1,五大花园
小天公寓,471.5,70,59,9463,7,1996,5,华西
顺苑,951.0,103,213,9266,8,2002,8,川音
春熙商汇广场,289.0,0,7,9775,22,1990,4,盐市口
大成天府景秀,3740.0,342,730,5583,6,2005,56,东升镇
平景苑西区,334.0,38,42,8513,7,1998,4,李家沱
沙湾东一路6号,104.0,2,0,7812,7,1999,2,沙湾
